x,y,yaw,waypoint_index,action,distance_to_waypoint,heading_error
-1.8468077547205355,-0.6399997790199335,2.7547985407981517e-05,0,TURN_LEFT,0.3442585681138654,0.7713865838403909
-1.8455258541827055,-0.6399988285945484,0.011704134955882774,0,TURN_LEFT,0.34334003960928083,0.7623109061002656
-1.8453599305875594,-0.6399968875389662,0.037419081676722095,0,TURN_LEFT,0.3432200483164163,0.7369298400161314
-1.8453668174322617,-0.6399954416344514,0.06116726576260376,0,TURN_LEFT,0.3432239605595043,0.7131646137790207
-1.8453724597577064,-0.6399939815734632,0.0849201258101938,0,TURN_LEFT,0.3432269732975993,0.6893972178331733
-1.845377071535053,-0.6399926788410847,0.10867537983814426,0,TURN_LEFT,0.3432293593683945,0.665629855265658
-1.8453878027629576,-0.6399907459938816,0.13250901190799635,0,TURN_LEFT,0.3432356798287904,0.6417703363463775
-1.8454001738610022,-0.6399887129017251,0.15636770479982542,0,TURN_LEFT,0.3432431028458353,0.6178822083596812
-1.845412286769729,-0.6399866007296011,0.18022808805977858,0,TURN_LEFT,0.34325028627416554,0.5939927524601114
-1.845423486279691,-0.6399844272298091,0.20408118745435982,0,TURN_LEFT,0.3432567740489576,0.5701123142924198
-1.8454335955980778,-0.6399822074753124,0.2279238040413215,0,TURN_LEFT,0.3432624502518804,0.5462444840039915
-1.8454426290629546,-0.6399799542275236,0.25175521474251905,0,TURN_LEFT,0.34326733400132825,0.5223899817692672
-1.8454506765956928,-0.6399776782801431,0.27557580115508673,0,TURN_LEFT,0.3432714970894193,0.49854826509432526
-1.845457853534052,-0.6399753887658438,0.29938642350254263,0,TURN_LEFT,0.34327502832985385,0.47471825769044773
-1.8454642780645625,-0.6399730934225017,0.32318811701432504,0,TURN_LEFT,0.3432780176074803,0.4508986996062917
-1.8454700612082429,-0.6399707988214843,0.3469819405068542,0,TURN_LEFT,0.34328054887598825,0.4270883195079472
-1.8454753027916566,-0.6399685105619431,0.37076890148989256,0,TURN_LEFT,0.3432826974112923,0.4032859181729404
-1.8454800903352235,-0.63996623343521,0.39454992146341394,0,TURN_LEFT,0.34328452913009516,0.37949040579163307
-1.84548449935299,-0.6399639715631865,0.41832582286229714,0,TURN_LEFT,0.34328610089976824,0.3557008146938194
-1.8454885942994128,-0.6399617285142841,0.4420973277192659,0,TURN_LEFT,0.3432874612954348,0.33191629899420116
-1.8454924297679043,-0.6399595074001169,0.46586506253096593,0,TURN_LEFT,0.34328865152383947,0.30813612748319574
-1.8454960517368066,-0.6399573109557868,0.489629566186794,0,TURN_LEFT,0.34328970636984285,0.28435967332521395
-1.8454994987599769,-0.6399551416062627,0.5133912991501834,0,TURN_LEFT,0.3432906550937287,0.26058640258906607
-1.8455028030540856,-0.6399530015210285,0.537150652851905,0,GO_FORWARD,0.343291522246565,0.23681586275281263
-1.8428892894066153,-0.6383977373859328,0.5371528624818765,0,GO_FORWARD,0.34033613986643063,0.2389131947443558
-1.8402792174489493,-0.6368441797886221,0.5371287506308026,0,GO_FORWARD,0.337385933076091,0.24107006280125642
-1.8376743351680072,-0.6352945976349285,0.5371039262757182,0,GO_FORWARD,0.3344437729630155,0.24326279153064112
-1.8350749969796372,-0.6337486801891048,0.5370835227855681,0,GO_FORWARD,0.3315097279042121,0.2454856170006935
-1.8324813388799703,-0.6322061112855584,0.5370681568458696,0,GO_FORWARD,0.32858370477822646,0.24773772121628423
-1.8298931211312766,-0.6306665747035262,0.5370565604736434,0,TURN_LEFT,0.3256653433034242,0.25002097880519425
-1.8296995182399711,-0.6305477138380117,0.5634475820816534,0,GO_FORWARD,0.32544449148143295,0.22379349220949618
-1.827157208480473,-0.628943530787354,0.5634462699617832,0,GO_FORWARD,0.3225143991421486,0.22586838165786083
-1.8246194052924527,-0.6273417363637549,0.5634385956540398,0,GO_FORWARD,0.3195905854790189,0.22798286908087628
-1.8220868298902602,-0.6257429826976706,0.5634328366499359,0,GO_FORWARD,0.3166740504808471,0.2301293021599372
-1.8195592781213639,-0.6241472022818632,0.5634285098188085,0,GO_FORWARD,0.3137646329654776,0.23230928319141986
-1.8170366274480005,-0.6225543465257618,0.5634252815562215,0,GO_FORWARD,0.3108622441074358,0.23452416168418166
-1.8145187759626653,-0.6209643997853344,0.5634229588607458,0,GO_FORWARD,0.30796683459913865,0.23677520958379672
-1.8120056397500743,-0.6193773346221719,0.5634213499358528,0,GO_FORWARD,0.3050783608054931,0.23906366640051757
-1.8094971413314824,-0.6177931199286173,0.5634201637703584,0,GO_FORWARD,0.30219678243539283,0.24139088398686626
-1.8069932308307437,-0.6162117309600544,0.563419374035333,0,GO_FORWARD,0.29932208440823815,0.24375793510630994
-1.8055638391692277,-0.615309020934728,0.5634189302297145,0,GO_FORWARD,0.29768182085888817,0.2451297892046922
-1.8041349070077581,-0.6144066084182679,0.5634187706281522,0,GO_FORWARD,0.29604265569760463,0.2465161223080211
-1.8027060706445261,-0.613504206899266,0.5634185836892889,0,GO_FORWARD,0.29440413964451684,0.24791770549607806
-1.801277312695064,-0.6126018110965634,0.5634183050579497,0,GO_FORWARD,0.2927662663069046,0.2493348828196409
-1.799848617323194,-0.611699420701176,0.5634179801578489,0,TURN_LEFT,0.29112903422916425,0.2507679027425449
-1.7998578684124622,-0.6116996275704242,0.5871586900682455,0,GO_FORWARD,0.2911355352405977,0.22700457422926812
-1.7984497593634077,-0.6107629901178935,0.5871605552043518,0,GO_FORWARD,0.2894880740113997,0.22831857856793203
-1.7970417418322733,-0.6098261418476003,0.5871596787406582,0,GO_FORWARD,0.28784102874146605,0.2296496518356047
-1.7956339953465081,-0.6088894581051921,0.587158996623851,0,GO_FORWARD,0.28619480401069186,0.23099554061922434
-1.7942264705459143,-0.6079529082405073,0.5871584670851294,0,GO_FORWARD,0.2845493523211883,0.2323565912072455
-1.7928191239229783,-0.6070164647603205,0.5871580564200546,0,GO_FORWARD,0.2829046327515437,0.23373314214478547
-1.7914119203190615,-0.6060801057167375,0.5871577382460497,0,GO_FORWARD,0.28126061439962124,0.235125524122882
-1.7900048314859867,-0.6051438136973564,0.5871574919541942,0,GO_FORWARD,0.2796172746564736,0.23653406260004306
-1.7885978347398654,-0.6042075748930457,0.5871573014674359,0,GO_FORWARD,0.2779745976024867,0.23795908014622702
-1.7871909118683273,-0.603271378351649,0.5871571542599584,0,GO_FORWARD,0.27633257271460976,0.23940089838956458
-1.7857840482513074,-0.602335215385752,0.5871570405846918,0,GO_FORWARD,0.2746911938338081,0.24085983963174284
-1.784377232154229,-0.6013990791031226,0.587156952865776,0,GO_FORWARD,0.27305045834138475,0.24233622819525547
-1.7829704541599205,-0.600462964034527,0.5871568852214871,0,GO_FORWARD,0.27141036650245254,0.24383039155456687
-1.7815637067121135,-0.5995268658387816,0.5871568330901943,0,GO_FORWARD,0.2697709209431021,0.24534266129360816
-1.780156983748663,-0.5985907810690431,0.5871567929375298,0,GO_FORWARD,0.26813212623449023,0.24687337392415543
-1.7787502804068946,-0.5976547069876329,0.5871567620275069,0,GO_FORWARD,0.266493988562426,0.24842287159315557
-1.777343592786924,-0.5967186414193179,0.5871567382438377,0,GO_FORWARD,0.2648565154653298,0.2499915027019145
-1.775936917761567,-0.595782582635056,0.5871567199506982,0,TURN_LEFT,0.26321971562687485,0.25157962245565835
-1.7759462337942034,-0.5957840422280004,0.6108907511232378,0,GO_FORWARD,0.2632270282047417,0.22782297331768986
-1.7745608953358438,-0.5948142312307677,0.6108931224673503,0,GO_FORWARD,0.26157998943054955,0.229281537543657
-1.773175617875218,-0.5938442177180794,0.6108925801047111,0,GO_FORWARD,0.25993340564305634,0.23076083234675493
-1.771790584964899,-0.5928743785881501,0.6108921629369911,0,GO_FORWARD,0.25828769037324867,0.2322585948101067
-1.7704057524918626,-0.5919046813170055,0.6108918439048502,0,GO_FORWARD,0.2566428007829156,0.2337752421466599
-1.7690210812437306,-0.5909350968010526,0.610891600834491,0,GO_FORWARD,0.2549987001834069,0.23531119206743478
